id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
1683382838882977187,Recoleta,-34.59037,-58.39556,Entire home/apt,Entire rental unit,3,1.0,2.0,108767.0,1.0,0,,,,0,0.0,34,,,,,f,True,False,True,False,True,False,False,False
1192606454743898397,Recoleta,-34.59115,-58.40653,Entire home/apt,Entire rental unit,4,1.0,3.0,95383.0,2.0,27,4.48,4.96,4.41,84,23.013698630136986,42,,,,,t,True,False,True,True,True,False,False,False
1198483033735471765,Recoleta,-34.589791,-58.39385100000001,Entire home/apt,Entire rental unit,8,4.0,5.0,575766.0,2.0,18,4.72,4.78,4.67,72,19.726027397260275,50,,,,,t,True,False,True,True,True,True,False,False
37396443,Recoleta,-34.59351,-58.39745,Entire home/apt,Entire rental unit,5,2.0,4.0,157721.0,2.0,58,4.9,5.0,4.86,42,11.506849315068493,49,,,,,f,True,False,False,True,True,True,False,False
1555474091609034690,Recoleta,-34.5978152,-58.41151610000001,Entire home/apt,Entire rental unit,2,1.0,1.0,66634.75,8.0,5,4.8,4.8,4.6,80,21.91780821917808,32,,,,,f,True,True,True,False,True,False,False,True
1267334018721002964,Recoleta,-34.5978152,-58.41151610000001,Entire home/apt,Entire rental unit,1,1.0,1.0,48658.67,1.0,56,4.95,4.91,4.98,192,52.602739726027394,22,,,,,f,True,True,True,False,True,False,False,False
1639149884055642759,Recoleta,-34.59087,-58.39357,Entire home/apt,Entire rental unit,2,1.0,1.0,103489.5,2.0,2,5.0,5.0,5.0,12,3.287671232876712,25,,,,,t,True,True,True,True,True,True,True,False
889218317370012804,Recoleta,-34.58805827394021,-58.40643737315086,Entire home/apt,Entire rental unit,4,2.0,1.0,161481.44,1.0,53,4.66,4.83,4.74,42,11.506849315068493,46,,,,,f,True,False,False,True,True,True,False,False
1327731629366549627,Recoleta,-34.58439,-58.40556,Entire home/apt,Entire rental unit,2,1.0,1.0,105666.0,1.0,16,4.75,4.88,4.81,60,16.43835616438356,43,,,,,f,True,False,True,True,True,True,False,False
838413804609105896,Recoleta,-34.5898015238412,-58.39383376931152,Entire home/apt,Entire rental unit,2,1.0,1.0,103538.0,1.0,114,4.79,4.93,4.79,138,37.80821917808219,46,,,,,f,True,False,False,True,True,True,False,False
